"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6163","test_add_contact_duplicate_phone","tests","2026-09-03","skipped","2026-09-03","","test_add_contact","",""
"","1201","test_open_contact_details","tests","2026-09-03","passed","2026-09-03","","test_contacts_page","",""
"","1105","test_add_contact_success_all_fields","tests","2026-09-03","passed","2026-09-03","","test_add_contact","",""
"Проверка: Авторизованный пользователь может успешно выйти из системы.","116","test_logout_success","tests","2026-09-03","passed","2026-09-03","TestLogout","test_logout","",""
"","5564","test_add_contact_negative[-Ivanov-0501234567-test@mail.com-Tel Aviv-desc-Name cannot be empty!]","tests","2026-09-03","skipped","2026-09-03","","test_add_contact","",""
"Негативный тест: Регистрация с уже существующим email в базе","985","test_registration_existing_user_alert","tests","2026-09-03","passed","2026-09-03","","test_login","",""
"","2899","test_edit_contact_duplicate_phone","tests","2026-09-03","skipped","2026-09-03","","test_edit_contact","",""
"Позитивный тест: Успешная авторизация с валидными данными","974","test_login_success","tests","2026-09-03","passed","2026-09-03","","test_login","",""
"","2261","test_delete_contact","tests","2026-09-03","passed","2026-09-03","","test_delete_contact","",""
"Негативный тест: Регистрация с ВАЛИДНЫМ (уникальным) email + невалидным паролем","983","test_registration_invalid_password_format","tests","2026-09-03","passed","2026-09-03","","test_login","",""
"","1011","test_add_contact_negative[Ivan-Ivanov--test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-03","passed","2026-09-03","","test_add_contact","",""
"","1359","test_edit_contact_clear_required_fields[address]","tests","2026-09-03","skipped","2026-09-03","","test_edit_contact","",""
"","5512","test_add_contact_negative[Ivan-Ivanov-0501234567-test@mail.com--desc-Address cannot be empty!]","tests","2026-09-03","skipped","2026-09-03","","test_add_contact","",""
"","1352","test_edit_contact_clear_required_fields[last_name]","tests","2026-09-03","skipped","2026-09-03","","test_edit_contact","",""
"","1111","test_contact_is_visible_in_list","tests","2026-09-03","passed","2026-09-03","","test_contacts_page","",""
"","5522","test_add_contact_negative[Ivan--0501234567-test@mail.com-Tel Aviv-desc-Last Name cannot be empty!]","tests","2026-09-03","skipped","2026-09-03","","test_add_contact","",""
"Негативный тест: Авторизация несуществующего пользователя","986","test_login_unregistered_user","tests","2026-09-03","passed","2026-09-03","","test_login","",""
"Скрипт-утилита: Полное очищение списка контактов","0","test_delete_all_contacts","tests","2026-09-03","skipped","2026-09-03","","test_delete_contact","",""
"","1029","test_add_contact_negative[Ivan-Ivanov-abcdefghij-test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-03","passed","2026-09-03","","test_add_contact","",""
"","1344","test_edit_contact_clear_required_fields[name]","tests","2026-09-03","skipped","2026-09-03","","test_edit_contact","",""
"Позитивный тест: Успешная регистрация нового пользователя","996","test_registration_success","tests","2026-09-03","passed","2026-09-03","","test_login","",""
"","1366","test_edit_contact_clear_required_fields[email]","tests","2026-09-03","skipped","2026-09-03","","test_edit_contact","",""
"Негативный тест: Регистрация с невалидным email + ВАЛИДНЫМ паролем","982","test_registration_invalid_email_format","tests","2026-09-03","passed","2026-09-03","","test_login","",""
"","2129","test_duplicate_contact_cards_count","tests","2026-09-03","skipped","2026-09-03","","test_contacts_page","",""
"","1368","test_edit_contact_clear_required_fields[phone]","tests","2026-09-03","skipped","2026-09-03","","test_edit_contact","",""
"Проверка безопасности: Неавторизованный пользователь не может открыть страницу /contacts.","208","test_logout_security_redirect","tests","2026-09-03","passed","2026-09-03","TestLogout","test_logout","",""
"Негативный тест: Авторизация с неверным форматом пароля","1011","test_login_with_wrong_password","tests","2026-09-03","passed","2026-09-03","","test_login","",""
"","1024","test_add_contact_negative[Ivan-Ivanov-050123-test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-03","passed","2026-09-03","","test_add_contact","",""
"","2486","test_edit_contact_positive","tests","2026-09-03","passed","2026-09-03","","test_edit_contact","",""
"","5518","test_add_contact_negative[Ivan-Ivanov-0501234567--Tel Aviv-desc-Email not valid: must be a well-formed email address]","tests","2026-09-03","skipped","2026-09-03","","test_add_contact","",""
"Проверка последовательного удаления нескольких конкретных контактов","3439","test_delete_multiple_contacts","tests","2026-09-03","passed","2026-09-03","","test_delete_contact","",""
"Негативный тест: Авторизация с неверным форматом email","981","test_login_with_wrong_email","tests","2026-09-03","passed","2026-09-03","","test_login","",""
"","1027","test_add_contact_negative[Ivan-Ivanov-0501234567-not-an-email-Tel Aviv-desc-Email not valid: must be a well-formed email address]","tests","2026-09-03","passed","2026-09-03","","test_add_contact","",""
