"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест обновления существующего контакта (Update)","573","test_api_update_contact","api_tests","2026-09-21","passed","2026-09-21","","test_api_contacts","",""
"Негативные тесты: Авторизация с неверными данными","1741","test_login_negative[invalid_password-\u0412\u0430\u043b\u0438\u0434\u043d\u044b\u0439 email, \u043d\u043e \u043d\u0435\u0432\u0430\u043b\u0438\u0434\u043d\u044b\u0439 \u043f\u0430\u0440\u043e\u043b\u044c]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"Негативные тесты: Авторизация с неверными данными","1648","test_login_negative[invalid_email-\u041d\u0435\u0432\u0430\u043b\u0438\u0434\u043d\u044b\u0439 \u0444\u043e\u0440\u043c\u0430\u0442 email]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","2849","test_edit_contact_clear_required_fields[phone]","tests","2026-09-21","skipped","2026-09-21","","test_edit_contact","",""
"Негативные тесты: Авторизация с неверными данными","1787","test_login_negative[unregistered-\u041d\u0435\u0441\u0443\u0449\u0435\u0441\u0442\u0432\u0443\u044e\u0449\u0438\u0439 \u043f\u043e\u043b\u044c\u0437\u043e\u0432\u0430\u0442\u0435\u043b\u044c]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","1588","test_add_contact_negative[Ivan-Ivanov-0501234567-not-an-email-Tel Aviv-desc-Email not valid: must be a well-formed email address]","tests","2026-09-21","passed","2026-09-21","","test_add_contact","",""
"Негативные тесты: Регистрация с неверными данными или существующим email","1985","test_registration_negative[existing_user-User already exist-\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044f \u0443\u0436\u0435 \u0441\u0443\u0449\u0435\u0441\u0442\u0432\u0443\u044e\u0449\u0435\u0433\u043e \u043f\u043e\u043b\u044c\u0437\u043e\u0432\u0430\u0442\u0435\u043b\u044f]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","6191","test_edit_contact_positive","tests","2026-09-21","passed","2026-09-21","","test_edit_contact","",""
"","1767","test_open_contact_details","tests","2026-09-21","passed","2026-09-21","","test_contacts_page","",""
"","1741","test_add_contact_negative[Ivan-Ivanov-050123-test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-21","passed","2026-09-21","","test_add_contact","",""
"","141","test_api_add_contact","api_tests","2026-09-21","passed","2026-09-21","","test_api_add_contact","",""
"Проверка последовательного удаления нескольких конкретных контактов","3650","test_delete_multiple_contacts","tests","2026-09-21","passed","2026-09-21","","test_delete_contact","",""
"","0","test_pw_login_success[chromium]","tests","2026-09-21","broken","2026-09-21","","test_playwright_login","",""
"","1673","test_add_contact_success_all_fields","tests","2026-09-21","passed","2026-09-21","","test_add_contact","",""
"","6194","test_add_contact_negative[Ivan-Ivanov-0501234567--Tel Aviv-desc-Email not valid: must be a well-formed email address]","tests","2026-09-21","skipped","2026-09-21","","test_add_contact","",""
"Тест удаления конкретного контакта (Delete)","596","test_api_delete_contact","api_tests","2026-09-21","passed","2026-09-21","","test_api_delete","",""
"Негативный тест: Создание контакта без обязательного поля (name)","97","test_api_add_contact_missing_required_field","api_tests","2026-09-21","passed","2026-09-21","","test_api_add_contact","",""
"Скрипт-утилита: Полное очищение списка контактов через UI","0","test_delete_all_contacts","tests","2026-09-21","skipped","2026-09-21","","test_delete_contact","",""
"","2203","test_contact_is_visible_in_list","tests","2026-09-21","passed","2026-09-21","","test_contacts_page","",""
"","2631","test_edit_contact_clear_required_fields[last_name]","tests","2026-09-21","skipped","2026-09-21","","test_edit_contact","",""
"","7782","test_add_contact_duplicate_phone","tests","2026-09-21","skipped","2026-09-21","","test_add_contact","",""
"","5737","test_add_contact_negative[-Ivanov-0501234567-test@mail.com-Tel Aviv-desc-Name cannot be empty!]","tests","2026-09-21","skipped","2026-09-21","","test_add_contact","",""
"","3982","test_edit_contact_clear_required_fields[name]","tests","2026-09-21","skipped","2026-09-21","","test_edit_contact","",""
"Негативные тесты: Регистрация с неверными данными или существующим email","1674","test_registration_negative[invalid_email-Wrong email or password format-\u041d\u0435\u0432\u0430\u043b\u0438\u0434\u043d\u044b\u0439 \u0444\u043e\u0440\u043c\u0430\u0442 email]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","5383","test_edit_contact_duplicate_phone","tests","2026-09-21","skipped","2026-09-21","","test_edit_contact","",""
"Тест получения списка контактов (Read)","216","test_api_get_all_contacts","api_tests","2026-09-21","passed","2026-09-21","","test_api_contacts","",""
"","1173","test_add_contact_negative[Ivan-Ivanov-abcdefghij-test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-21","passed","2026-09-21","","test_add_contact","",""
"Проверка безопасности: Неавторизованный пользователь не может открыть страницу /contacts.","370","test_logout_security_redirect","tests","2026-09-21","passed","2026-09-21","TestLogout","test_logout","",""
"","6155","test_add_contact_negative[Ivan--0501234567-test@mail.com-Tel Aviv-desc-Last Name cannot be empty!]","tests","2026-09-21","skipped","2026-09-21","","test_add_contact","",""
"","1427","test_delete_contact","tests","2026-09-21","passed","2026-09-21","","test_delete_contact","",""
"Тест массового удаления контактов (Пылесос)","0","test_api_clear_all_contacts","api_tests","2026-09-21","skipped","2026-09-21","","test_api_delete","",""
"","2314","test_edit_contact_clear_required_fields[email]","tests","2026-09-21","skipped","2026-09-21","","test_edit_contact","",""
"Проверка: Авторизованный пользователь может успешно выйти из системы.","239","test_logout_success","tests","2026-09-21","passed","2026-09-21","TestLogout","test_logout","",""
"Негативный тест: Попытка создать дубликат контакта","296","test_api_add_contact_duplicate","api_tests","2026-09-21","skipped","2026-09-21","","test_api_add_contact","",""
"Позитивный тест: Успешная авторизация с валидными данными","1792","test_login_success","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","1925","test_add_contact_negative[Ivan-Ivanov--test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-21","passed","2026-09-21","","test_add_contact","",""
"","2756","test_duplicate_contact_cards_count","tests","2026-09-21","skipped","2026-09-21","","test_contacts_page","",""
"","6115","test_add_contact_negative[Ivan-Ivanov-0501234567-test@mail.com--desc-Address cannot be empty!]","tests","2026-09-21","skipped","2026-09-21","","test_add_contact","",""
"","2593","test_edit_contact_clear_required_fields[address]","tests","2026-09-21","skipped","2026-09-21","","test_edit_contact","",""
"Позитивный тест: Успешная регистрация нового пользователя","1228","test_registration_success","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"Негативные тесты: Регистрация с неверными данными или существующим email","1755","test_registration_negative[invalid_password-Wrong email or password format-\u041d\u0435\u0432\u0430\u043b\u0438\u0434\u043d\u044b\u0439 \u0444\u043e\u0440\u043c\u0430\u0442 \u043f\u0430\u0440\u043e\u043b\u044f]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"Тест успешной авторизации через API и получения токена","174","test_api_login_success","api_tests","2026-09-21","passed","2026-09-21","","test_api_login","",""
