"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативный тест: Регистрация с невалидным email + ВАЛИДНЫМ паролем","870","test_registration_invalid_email_format","tests","2026-09-01","passed","2026-09-01","","test_login","",""
"","1166","test_edit_contact_clear_required_fields[last_name]","tests","2026-09-01","skipped","2026-09-01","","test_edit_contact","",""
"","5934","test_add_contact_duplicate_phone","tests","2026-09-01","skipped","2026-09-01","","test_add_contact","",""
"","1158","test_edit_contact_clear_required_fields[name]","tests","2026-09-01","skipped","2026-09-01","","test_edit_contact","",""
"","1013","test_open_contact_details","tests","2026-09-01","passed","2026-09-01","","test_contacts_page","",""
"","1899","test_duplicate_contact_cards_count","tests","2026-09-01","skipped","2026-09-01","","test_contacts_page","",""
"Негативный тест: Регистрация с ВАЛИДНЫМ (уникальным) email + невалидным паролем","878","test_registration_invalid_password_format","tests","2026-09-01","passed","2026-09-01","","test_login","",""
"","904","test_add_contact_negative[Ivan-Ivanov--test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-01","passed","2026-09-01","","test_add_contact","",""
"","2496","test_edit_contact_duplicate_phone","tests","2026-09-01","skipped","2026-09-01","","test_edit_contact","",""
"Негативный тест: Авторизация несуществующего пользователя","881","test_login_unregistered_user","tests","2026-09-01","passed","2026-09-01","","test_login","",""
"","2189","test_edit_contact_positive","tests","2026-09-01","passed","2026-09-01","","test_edit_contact","",""
"","5416","test_add_contact_negative[Ivan--0501234567-test@mail.com-Tel Aviv-desc-Last Name cannot be empty!]","tests","2026-09-01","skipped","2026-09-01","","test_add_contact","",""
"","942","test_add_contact_success_all_fields","tests","2026-09-01","passed","2026-09-01","","test_add_contact","",""
"","5413","test_add_contact_negative[Ivan-Ivanov-0501234567-test@mail.com--desc-Address cannot be empty!]","tests","2026-09-01","skipped","2026-09-01","","test_add_contact","",""
"","911","test_add_contact_negative[Ivan-Ivanov-abcdefghij-test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-01","passed","2026-09-01","","test_add_contact","",""
"Проверка: Авторизованный пользователь может успешно выйти из системы.","178","test_logout_success","tests","2026-09-01","passed","2026-09-01","TestLogout","test_logout","",""
"","908","test_add_contact_negative[Ivan-Ivanov-050123-test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-01","passed","2026-09-01","","test_add_contact","",""
"Проверка безопасности: Неавторизованный пользователь не может открыть страницу /contacts.","151","test_logout_security_redirect","tests","2026-09-01","passed","2026-09-01","TestLogout","test_logout","",""
"Негативный тест: Авторизация с неверным форматом пароля","878","test_login_with_wrong_password","tests","2026-09-01","passed","2026-09-01","","test_login","",""
"","1164","test_edit_contact_clear_required_fields[email]","tests","2026-09-01","skipped","2026-09-01","","test_edit_contact","",""
"","1164","test_edit_contact_clear_required_fields[phone]","tests","2026-09-01","skipped","2026-09-01","","test_edit_contact","",""
"Проверка последовательного удаления нескольких конкретных контактов","3121","test_delete_multiple_contacts","tests","2026-09-01","passed","2026-09-01","","test_delete_contact","",""
"","5403","test_add_contact_negative[Ivan-Ivanov-0501234567--Tel Aviv-desc-Email not valid: must be a well-formed email address]","tests","2026-09-01","skipped","2026-09-01","","test_add_contact","",""
"Позитивный тест: Успешная авторизация с валидными данными","881","test_login_success","tests","2026-09-01","passed","2026-09-01","","test_login","",""
"Скрипт-утилита: Полное очищение списка контактов","0","test_delete_all_contacts","tests","2026-09-01","skipped","2026-09-01","","test_delete_contact","",""
"Негативный тест: Регистрация с уже существующим email в базе","977","test_registration_existing_user_alert","tests","2026-09-01","passed","2026-09-01","","test_login","",""
"Позитивный тест: Успешная регистрация нового пользователя","895","test_registration_success","tests","2026-09-01","passed","2026-09-01","","test_login","",""
"","904","test_add_contact_negative[Ivan-Ivanov-0501234567-not-an-email-Tel Aviv-desc-Email not valid: must be a well-formed email address]","tests","2026-09-01","passed","2026-09-01","","test_add_contact","",""
"","961","test_contact_is_visible_in_list","tests","2026-09-01","passed","2026-09-01","","test_contacts_page","",""
"Негативный тест: Авторизация с неверным форматом email","876","test_login_with_wrong_email","tests","2026-09-01","passed","2026-09-01","","test_login","",""
"","1164","test_edit_contact_clear_required_fields[address]","tests","2026-09-01","skipped","2026-09-01","","test_edit_contact","",""
"","5410","test_add_contact_negative[-Ivanov-0501234567-test@mail.com-Tel Aviv-desc-Name cannot be empty!]","tests","2026-09-01","skipped","2026-09-01","","test_add_contact","",""
"","2123","test_delete_contact","tests","2026-09-01","passed","2026-09-01","","test_delete_contact","",""
