"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","13","7","","0"
"0","UI Testing","0","Contacts Management","4","4","Negative Add Contact","0"
"0","API Testing","0","Contacts CRUD","1","0","Create Contact","0"
"0","Hybrid Testing","0","Contacts Management","1","0","API Setup -> UI Delete -> UI Assert","0"
"0","API Testing","0","Contacts CRUD","0","1","Delete All Contacts","0"
"0","UI Testing","0","Contacts Management","0","1","Mass Delete Utilities","0"
"0","API Testing","0","Contacts CRUD","1","0","Get All Contact","0"
"0","Hybrid Testing","0","Contacts Management","1","0","API Setup -> UI Multiple Delete","0"
"0","API Testing","0","Contacts CRUD","1","0","Update Contact","0"
"0","UI Testing","0","Contacts Management","1","0","Test Add Contact Success All Fields","0"
"0","API Testing","0","Contacts CRUD","1","0","Login","0"
"0","API Testing","0","Contacts CRUD","1","0","Delete Contact","0"
"0","Playwright Testing","0","Login","1","0","Positive Login (Playwright + POM)","0"
"0","UI Testing","0","Contacts Management","0","1","Test Add contact: Duplicate Phone","0"
"0","API Testing","0","Contacts CRUD","1","0","Create Contact without Name","0"
"0","API Testing","0","Contacts Validation","0","1","Create Duplicate Contact","0"
