"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1167","test_edit_contact_clear_required_fields[address]","tests","2026-08-30","skipped","2026-08-30","","test_edit_contact","",""
"Проверка безопасности: Неавторизованный пользователь не может открыть страницу /contacts.","173","test_logout_security_redirect","tests","2026-08-30","passed","2026-08-30","TestLogout","test_logout","",""
"Негативный тест: Регистрация с уже существующим email в базе","886","test_registration_existing_user_alert","tests","2026-08-30","passed","2026-08-30","","test_login","",""
"","1164","test_edit_contact_clear_required_fields[name]","tests","2026-08-30","skipped","2026-08-30","","test_edit_contact","",""
"","1907","test_duplicate_contact_cards_count","tests","2026-08-30","skipped","2026-08-30","","test_contacts_page","",""
"","5419","test_add_contact_negative[Ivan-Ivanov-0501234567--Tel Aviv-desc-Email not valid: must be a well-formed email address]","tests","2026-08-30","skipped","2026-08-30","","test_add_contact","",""
"","1039","test_open_contact_details","tests","2026-08-30","passed","2026-08-30","","test_contacts_page","",""
"","2169","test_edit_contact_positive","tests","2026-08-30","passed","2026-08-30","","test_edit_contact","",""
"","5419","test_add_contact_negative[Ivan-Ivanov-0501234567-test@mail.com--desc-Address cannot be empty!]","tests","2026-08-30","skipped","2026-08-30","","test_add_contact","",""
"","916","test_add_contact_negative[Ivan-Ivanov-050123-test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-08-30","passed","2026-08-30","","test_add_contact","",""
"Негативный тест: Авторизация несуществующего пользователя","902","test_login_unregistered_user","tests","2026-08-30","passed","2026-08-30","","test_login","",""
"","1170","test_edit_contact_clear_required_fields[last_name]","tests","2026-08-30","skipped","2026-08-30","","test_edit_contact","",""
"","2516","test_edit_contact_duplicate_phone","tests","2026-08-30","skipped","2026-08-30","","test_edit_contact","",""
"","5955","test_add_contact_duplicate_phone","tests","2026-08-30","skipped","2026-08-30","","test_add_contact","",""
"Позитивный тест: Успешная регистрация нового пользователя","903","test_registration_success","tests","2026-08-30","passed","2026-08-30","","test_login","",""
"Негативный тест: Авторизация с неверным форматом email","868","test_login_with_wrong_email","tests","2026-08-30","passed","2026-08-30","","test_login","",""
"Негативный тест: Авторизация с неверным форматом пароля","858","test_login_with_wrong_password","tests","2026-08-30","passed","2026-08-30","","test_login","",""
"","907","test_add_contact_negative[Ivan-Ivanov--test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-08-30","passed","2026-08-30","","test_add_contact","",""
"","957","test_contact_is_visible_in_list","tests","2026-08-30","passed","2026-08-30","","test_contacts_page","",""
"","0","test_add_contact_success_all_fields","tests","2026-08-30","broken","2026-08-30","","test_add_contact","",""
"Позитивный тест: Успешная авторизация с валидными данными","889","test_login_success","tests","2026-08-30","passed","2026-08-30","","test_login","",""
"","5425","test_add_contact_negative[Ivan--0501234567-test@mail.com-Tel Aviv-desc-Last Name cannot be empty!]","tests","2026-08-30","skipped","2026-08-30","","test_add_contact","",""
"Негативный тест: Регистрация с ВАЛИДНЫМ (уникальным) email + невалидным паролем","869","test_registration_invalid_password_format","tests","2026-08-30","passed","2026-08-30","","test_login","",""
"","1167","test_edit_contact_clear_required_fields[phone]","tests","2026-08-30","skipped","2026-08-30","","test_edit_contact","",""
"","915","test_add_contact_negative[Ivan-Ivanov-abcdefghij-test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-08-30","passed","2026-08-30","","test_add_contact","",""
"","2118","test_delete_contact","tests","2026-08-30","passed","2026-08-30","","test_delete_contact","",""
"Проверка: Авторизованный пользователь может успешно выйти из системы.","88","test_logout_success","tests","2026-08-30","passed","2026-08-30","TestLogout","test_logout","",""
"Негативный тест: Регистрация с невалидным email + ВАЛИДНЫМ паролем","876","test_registration_invalid_email_format","tests","2026-08-30","passed","2026-08-30","","test_login","",""
"","911","test_add_contact_negative[Ivan-Ivanov-0501234567-not-an-email-Tel Aviv-desc-Email not valid: must be a well-formed email address]","tests","2026-08-30","passed","2026-08-30","","test_add_contact","",""
"","1162","test_edit_contact_clear_required_fields[email]","tests","2026-08-30","skipped","2026-08-30","","test_edit_contact","",""
"","5460","test_add_contact_negative[-Ivanov-0501234567-test@mail.com-Tel Aviv-desc-Name cannot be empty!]","tests","2026-08-30","skipped","2026-08-30","","test_add_contact","",""
